job_title,job_category,client_name,fee,description
限定公開の仕事,携帯アプリ・モバイル開発,,"300,000円~500,000円 / 固定",(非公開オプションが設定されています。内容は詳細画面で確認できます)
倉庫管理システム（WMS）の開発,ソフトウェア・業務システム開発,株式会社ファンセンス,"1,000,000円~3,000,000円 / 固定",■ 依頼の目的・背景私たちが会社で利用している受注管理システム（ネクストエンジン）とAPI連携できる倉庫管理システムを開発したいと考えています。クラウド型のPCシステムとそれに連動するスマホアプリ（iPhone及びアンドロイド）を作成していただければと思っています。PCシステムは一般的な倉庫管理システムになっていて、スマホアプリがハンディーターミナルの代わりになっているよ...
Google スプレッドシートでのマクロ作成,Excelマクロ作成・VBA開発,t-uchiyama,"10,000円~20,000円 / 固定",■ 依頼の目的/概要当社は東京にて廃棄物管理・施設メンテナンス事業を行うマネジメント企業です。Googleスプレッドシート上で管理している顧客一覧表に手入力している作業を自動化できるマクロの作成を希望します。■ 重視する点/検討基準追加案件などもお願いする可能性があります。自動化のためのスプレッドシート修正提案・相談に応じていただける方が希望です。■ 具体...
補助金メディアサービスの開発,Webシステム開発・プログラミング,株式会社リアリゼイション,"500,000円~1,000,000円 / 固定",■ 依頼の目的・背景弊社が運営している「補助金コンシェル」に新機能を追加し大幅にリニューアルします。運営サイト：　https://hojyokin-concierge.com/補助金分野の専門家のため、弁護士ドットコムの全ての機能にメッセージ機能を追加したサイトになります。デザインも合わせてシステム開発をお願いいたします。参考サイト：弁護士ドットコムhtt...
簡単な受発注システムの開発,ソフトウェア・業務システム開発,m_onuki,"50,000円~100,000円 / 固定",■ 依頼の目的・背景弊社は不動産管理会社なのですが、お部屋の修理やリフォームを下請け業者さんに発注するのですが、その工程管理及び発注履歴を管理するためのシステムを必要としています。PC、スマホで簡単に操作が可能であり、PCでは用途に応じてソートできるような仕組みも必要になります。できれば、下請けさんはスマホでLINEを受け取るようなイメージで、スマホアプリ内で進捗を更新出来たりすると...
【Excelマクロ作成】誕生日×干支×数字（0～9)のエクセルのパターン表作成,Excelマクロ作成・VBA開発,RYOUGA,"20,000円~50,000円 / 固定",ご覧いただきましてありがとうございます。こうして、こちらの依頼を見て頂けたのも何かの縁でございますので、感謝しております。Excelマクロ作成とGoogleスプレッドシートマクロ作成（できれば双方、片方だけでも可）をして頂ける方を募集しております。誕生日（365日）×干支（12支）×数字（0～9)のエクセルのパターン表作成＝43800通りの表報酬・Exce...
大手ふるさと納税サイトの新規システム開発,Webシステム開発・プログラミング,中村,"300,000円~500,000円 / 固定",■ 依頼の目的・背景大手ふるさと納税サイトのCMS開発やAPI開発など、要件定義から設計・コーディング・保守運用まで一貫して行います。新規システムの開発していただくこともあります。■ サイトの種類その他■ 作業範囲・要件定義■ 用意してあるもの設定なし■ 参考URLなし■ 希望開発言語PHP■ フレームワークCakePHP、Larave...
Access見積プログラム,Windowsアプリケーション開発,antiphon,"50,000円~100,000円 / 固定",現在運用中の見積プログラムを見ていただき、修正してほしい。もしくは、新しくもっと使いやすいプログラムを制作してほしい。というのも、現在使用している物は最新型のコンピューターで、うまく動かない。デバックモードになってしまうため。
Eラーニングシステム構築/WPもしくはRuby /サーバー保守は別途ランニング,Webシステム開発・プログラミング,globalaw,"500,000円~1,000,000円 / 固定",■ 依頼の目的・背景サイトはBtoC向けで、有料会員・非会員で閲覧コンテンツに制限有料会員はすべてのサービスを受けられる。非会員は制限付き（動画視聴1分だけ、全部見られない、など。内容は応相談）WordPressの既存テーマを使用してサイト構築をお願いしたいと思っておりますがEラーニングだと望ましくないよ。という場合はリテラシーの高くない人間でもできるよう設計いただき...
音声システムの開発,Webシステム開発・プログラミング,gate_support,"500,000円~1,000,000円 / 固定",■ 依頼の目的・背景ソースコードを貼るだけでフリーダイヤルのように使える音声システムの開発をお願いしたいです。■ サイトの種類その他■ 作業範囲・要件定義■ 用意してあるもの・サーバー・ドメイン■ 参考URLなし■ 希望開発言語■ フレームワーク■ 開発の継続性ランサーに相談して決めたい■ 補足説明なし
